Name	Half-life (h)
Atr	2.215412045
Atraid	4.393419644
Atxn10	6.581344481
Atxn2	4.881915723
Aunip	2.166429335
Aup1	4.370037355
Aurkaip1	7.390182195
Aven	7.917601214
Avl9	2.617308773
AW209491	1.230391265
Axin1	2.982197623
B230219D22Rik	2.040394899
B230354K17Rik	1.770757208
B3galnt2	2.386551552
B3gat3	1.978103799
B3gnt7	2.399387434
B4galnt4	4.748113974
B4galt3	3.543448753
B9d1	6.632683667
Babam1	5.685970691
Bach1	2.620867104
Bad	5.15327288
Bag6	8.758849848
Bahcc1	4.481418664
Baiap2	2.709890162
Banp	2.870515969
Baz1b	2.211706034
Baz2a	3.810301879
Bbc3	2.495846194
BC003965	3.357346679
BC005537	2.999603578
BC030867	2.493391025
BC031181	4.368736087
BC052040	4.764918675
Bcas2	5.963312861
Bcat2	5.020688876
Bccip	6.786900809
Bckdhb	9.742962953
Bckdk	7.299600785
Bcl10	3.115310673
Bcl9l	1.542769474
Bclaf1	3.098313045
Bclaf1	3.758287892
Bex3	6.090608464
Bex4	5.542067821
Bfar	2.015534833
Bfar	3.33224161
Bhlhb9	4.891432039
Birc5	4.437166493
Birc6	3.046805673
Birc6	3.260514695
Bivm	2.548252356
Blmh	5.976605978
Bnip2	2.597709327
Bola2	7.155696824
Bora	2.165084906
Borcs5	1.574130512
Borcs6	2.615850673
Borcs8	4.2269407
Bpgm	3.45607138
Bpnt1	4.735564384
Brca2	2.714577997
Bre	5.73340049
Bri3	4.388530577
Bri3bp	4.411590882
Brk1	6.151196036
Brk1	3.703751932
Brms1	5.091466686
Brms1l	1.182778946
Brpf1	2.339045792
Brpf3	1.12707465
Brsk1	1.286834184
Bsdc1	2.522873287
Bsg	8.743200912
Btbd11	5.451916031
Btg1	1.985540813
Btrc	4.069476675
Bub1b	3.642536947
Bub3	4.142248469
Bub3	3.024923272
Bud13	2.925785123
Bud31	4.425554755
Bvht	3.102266706
Bzw1	6.166689608
Bzw1	4.032960199
C1d	7.850730268
C2cd3	3.526084872
Cab39	2.897814699
Cacfd1	3.890530331
Cacna1a	3.3657453
Cacng6	2.489905101
Cacng7	6.564874005
Cactin	2.671177949
Cad	8.628687767
Cadm1	4.469559306
Calm1	6.53907314
Calm1	6.387932622
Calm1	6.718057495
Calu	5.944559832
Caml	0.834034197
Camsap3	2.812661719
Capn10	4.474800069
Capn7	3.456528804
Capza2	4.813143905
Capza2	4.50410613
Capza2	4.240964997
Capzb	8.856868698
Capzb	7.142767821
Car2	5.125899558
Carm1	5.472905877
Carnmt1	4.335436103
Carnmt1	3.571531533
Casc3	2.299992391
Casc4	4.171423309
Casp3	8.284439726
Casp8ap2	2.35494192
Cbfa2t2	1.943897034
Cbfb	3.393806951
Cbr3	4.53634297
Cbx2	1.635906865
Cbx3	4.974769511
Cby1	7.819496228
Cc2d1b	4.412266096
Ccdc12	5.74905281
Ccdc127	2.137604008
Ccdc127	1.260476492
Ccdc14	1.477792514
Ccdc174	2.397047845
Ccdc25	3.520312481
Ccdc34	3.880134094
Ccdc50	3.377856952
Ccdc58	4.395011241
Ccdc59	3.358805568
Ccdc6	3.024143122
Ccdc71	1.5389377
Ccdc90b	3.873218235
Ccdc91	4.72033126
Ccdc94	0.88934685
Ccm2	3.755268642
Ccnc	5.833214056
Ccnd3	6.063956986
Ccndbp1	5.106729614
Ccnk	4.024743133
Ccnl2	2.312455495
Ccnt2	2.167728025
Ccnt2	3.787678098
Ccnyl1	3.660866192
Ccp110	3.711117759
